color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genre1,genre2,genre3,genre4,genre5,genre6,genre7,genre8,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Color,Zack Snyder,673,183,0,2000,Lauren Cohan,15000,330249062,Action,Adventure,Sci-Fi,,,,,,Henry Cavill,Batman v Superman: Dawn of Justice,371639,24450,Alan D. Purwin,0,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,English,USA,PG-13,250000000,2016,4000,6.9,2.35,197000
Color,Anthony Russo,516,147,94,11000,Scarlett Johansson,21000,407197282,Action,Adventure,Sci-Fi,,,,,,Robert Downey Jr.,Captain America: Civil War,272670,64798,Chris Evans,0,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,English,USA,PG-13,250000000,2016,19000,8.2,2.35,72000
Color,Justin Lin,322,122,681,105,Melissa Roxburgh,998,130468626,Action,Adventure,Sci-Fi,Thriller,,,,,Sofia Boutella,Star Trek Beyond,53607,1327,Lydia Wilson,4,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,English,USA,PG-13,185000000,2016,119,7.5,2.35,30000
Color,David Yates,248,110,282,103,Alexander Skarsgård,11000,124051759,Action,Adventure,Drama,Romance,,,,,Christoph Waltz,The Legend of Tarzan,42372,21175,Casper Crump,2,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,English,USA,PG-13,180000000,2016,10000,6.6,2.35,29000
Color,Bryan Singer,396,144,0,1000,Michael Fassbender,34000,154985087,Action,Adventure,Sci-Fi,,,,,,Jennifer Lawrence,X-Men: Apocalypse,148379,49684,Tye Sheridan,6,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,English,USA,PG-13,178000000,2016,13000,7.3,2.35,54000
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,Adventure,Drama,Family,Fantasy,,,,,Scarlett Johansson,The Jungle Book,106072,32921,Garry Shandling,0,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Color,Jon Favreau,370,106,4000,591,Bill Murray,19000,362645141,Adventure,Drama,Family,Fantasy,,,,,Scarlett Johansson,The Jungle Book,106221,32921,Garry Shandling,0,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,English,UK,PG,175000000,2016,13000,7.8,1.85,65000
Color,David Ayer,418,123,452,329,Robin Atkin Downes,10000,161087183,Action,Adventure,Comedy,Sci-Fi,,,,,Will Smith,Suicide Squad,118992,11287,Ike Barinholtz,8,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,English,USA,PG-13,175000000,2016,336,6.9,2.35,80000
Color,James Bobin,218,113,33,11000,Alan Rickman,40000,76846624,Adventure,Family,Fantasy,,,,,,Johnny Depp,Alice Through the Looking Glass,21352,80806,Anne Hathaway,1,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,English,USA,PG,170000000,2016,25000,6.4,1.85,30000
Color,Roland Emmerich,286,120,776,535,Sela Ward,890,102315545,Action,Adventure,Sci-Fi,,,,,,Vivica A. Fox,Independence Day: Resurgence,58137,3233,Judd Hirsch,0,alien|battle|defense|independence day|mothership,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,English,USA,PG-13,165000000,2016,812,5.5,2.35,67000
